File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer,Enc Time,Dec Time
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,5.274199002,33.8892,79.013,10.3613,84.1595,0.005009768,0.716221571,0.183072567
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000002.bin,5.271438399,33.7291,79.0336,10.3348,84.1706,0.004990308,0.340891123,0.179959059
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000003.bin,5.255695495,33.7201,79.0347,10.3266,84.1741,0.004990493,0.349827051,0.181117535
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000004.bin,5.323138205,33.8558,79.0173,10.5992,84.0609,0.005002755,0.333782911,0.18754077
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000005.bin,5.286364774,33.7824,79.0267,10.5508,84.0808,0.004993547,0.333169937,0.181105137
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000006.bin,5.331109593,33.7735,79.0279,10.6194,84.0527,0.00499299,0.337618828,0.181296349
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000007.bin,5.458525019,33.7022,79.0371,10.6457,84.0419,0.004990752,0.339760542,0.18040657
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000008.bin,5.492601539,33.5975,79.0506,10.721,84.0113,0.00498665,0.340999842,0.182121038
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000009.bin,5.518184037,33.7054,79.0366,10.7895,83.9836,0.004991321,0.341446638,0.181452751
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000010.bin,5.600898601,33.6273,79.0467,10.656,84.0377,0.00498153,0.34088707,0.182520151
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000011.bin,5.665736561,33.6518,79.0435,10.4884,84.1065,0.004985178,0.345944166,0.182423592
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000012.bin,5.704498021,33.7917,79.0255,10.3962,84.1449,0.004995021,0.347619057,0.182584524
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000013.bin,5.718896001,33.8073,79.0235,10.47,84.1142,0.004998785,0.354589939,0.181464672
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000014.bin,5.676998234,33.7734,79.0279,10.5765,84.0702,0.004999676,0.352022886,0.181634665
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000015.bin,5.726955314,33.6989,79.0375,10.5324,84.0884,0.004988684,0.34871316,0.180923939
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000016.bin,5.831495735,33.7692,79.0284,10.6755,84.0298,0.004998188,0.361649513,0.182031631
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000017.bin,5.898154427,33.8121,79.0229,10.5702,84.0728,0.005000509,0.360874653,0.19107461
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000018.bin,5.924860883,33.8957,79.0122,10.6765,84.0294,0.005006516,0.35461688,0.180641413
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000019.bin,5.962688131,33.7632,79.0292,10.7552,83.9975,0.004997694,0.364886999,0.182300806
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000020.bin,6.044037122,33.7497,79.0309,10.8311,83.9669,0.00499584,0.353739262,0.189436674
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000021.bin,6.147489022,33.8431,79.0189,10.7426,84.0025,0.005001122,0.366069078,0.182274818
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000022.bin,6.204461638,33.8701,79.0155,10.5763,84.0703,0.005002049,0.362597704,0.181358099
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000023.bin,6.356085385,33.8538,79.0176,10.6243,84.0506,0.004995493,0.369880199,0.18230772
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000024.bin,6.33654094,33.9923,78.9998,10.6723,84.0311,0.004995406,0.365732908,0.181699276
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000025.bin,6.32389152,33.981,79.0013,10.5266,84.0908,0.004992404,0.364024401,0.182636738
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000026.bin,6.375540047,33.9417,79.0063,10.5497,84.0813,0.004996325,0.36694932,0.182943106
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000027.bin,6.547204771,33.7622,79.0293,10.1114,84.2655,0.004987201,0.369015217,0.183357239
