File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,2.79302321,535.634,67.025,162.761,72.1981,0.019111672
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000002.bin,2.793407711,536.825,67.0153,164.717,72.1463,0.01914379
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000003.bin,2.76819512,531.499,67.0586,163.672,72.1739,0.018988397
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000004.bin,2.789355165,523.711,67.1227,162.107,72.2156,0.018812021
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000005.bin,2.770958219,533.078,67.0457,165.44,72.1272,0.018979466
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000006.bin,2.793553832,529.069,67.0785,167.226,72.0806,0.018861791
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000007.bin,2.846199056,531.707,67.0569,167.83,72.0649,0.018904874
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000008.bin,2.903200926,537.546,67.0095,172.177,71.9539,0.018993467
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000009.bin,2.937271174,537.301,67.0115,170.335,72.0006,0.018990618
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000010.bin,2.964648218,533.016,67.0462,166.94,72.088,0.018814042
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000011.bin,3.008535084,529.66,67.0737,166.252,72.106,0.018726096
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000012.bin,3.009345602,529.158,67.0778,163.919,72.1674,0.018703451
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000013.bin,3.019573137,535.682,67.0246,165.351,72.1296,0.018810539
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000014.bin,3.013911984,536.349,67.0192,169.339,72.0261,0.018764893
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000015.bin,3.084574022,536.194,67.0204,167.372,72.0768,0.018740921
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000016.bin,3.062949865,536.045,67.0216,170.188,72.0043,0.018675308
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000017.bin,3.150806982,534.801,67.0317,166.784,72.0921,0.018590234
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000018.bin,3.148171824,535.574,67.0254,166.751,72.093,0.018532455
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000019.bin,3.14031778,529.809,67.0724,168.986,72.0351,0.018336731
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000020.bin,3.164450797,533.105,67.0455,170.321,72.001,0.018283557
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000021.bin,3.264934764,535.108,67.0292,171.1,71.9811,0.018244664
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000022.bin,3.343316577,533.321,67.0437,165.534,72.1248,0.01809871
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000023.bin,3.398261319,531.132,67.0616,164.38,72.1552,0.017930217
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000024.bin,3.375805482,531.163,67.0614,165.794,72.1179,0.017944725
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000025.bin,3.345845889,530.132,67.0698,164.655,72.1479,0.017905892
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000026.bin,3.36950439,538.364,67.0029,167.271,72.0794,0.018141197
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000027.bin,3.512213822,535.592,67.0253,159.162,72.2952,0.018143981
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000028.bin,3.565470252,531.82,67.056,153.979,72.439,0.01821041
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000029.bin,3.501022495,532.626,67.0494,154.005,72.4383,0.018382483
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000030.bin,3.502161376,532.386,67.0514,154.48,72.4249,0.018474657
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000031.bin,3.554796304,532.967,67.0466,153.383,72.4559,0.018564245
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000032.bin,3.608083078,531.01,67.0626,153.337,72.4572,0.018589369
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000033.bin,3.580088878,533.957,67.0386,155.955,72.3837,0.018679118
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000034.bin,3.561235802,534.978,67.0303,158.512,72.313,0.01871307
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000035.bin,3.554989402,532.877,67.0474,159.203,72.2941,0.018622803
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000036.bin,3.62217986,533.825,67.0396,159.448,72.2875,0.018644596
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000037.bin,3.628258706,532.772,67.0482,159.386,72.2891,0.018583908
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000038.bin,3.611939359,539.291,66.9954,161.206,72.2398,0.018758687
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000039.bin,3.6174534,533.277,67.0441,159.296,72.2916,0.018581621
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000040.bin,3.636096907,534.955,67.0305,156.014,72.382,0.018604138
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000041.bin,3.757961918,536.3,67.0196,149.956,72.554,0.01864645
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000042.bin,3.797636414,533.835,67.0396,147.028,72.6396,0.018582555
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000043.bin,3.793835399,532.886,67.0473,142.344,72.7802,0.018607659
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000044.bin,3.893108179,538.042,67.0055,141.285,72.8127,0.018808872
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000045.bin,3.852276345,534.924,67.0307,140.206,72.846,0.018813541
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000046.bin,3.87271433,532.016,67.0544,137.033,72.9454,0.018755019
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000047.bin,3.937333475,533.072,67.0458,138.172,72.9094,0.018810523
