File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,2.552614308,835.839,65.0924,254.768,70.2522,0.023408332
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000002.bin,2.566326683,828.433,65.1311,253.18,70.2793,0.023228751
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000003.bin,2.553818803,837.832,65.0821,256.718,70.2191,0.02339436
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000004.bin,2.552598657,847.088,65.0343,263.392,70.1076,0.023536144
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000005.bin,2.558879159,830.536,65.1201,257.592,70.2043,0.023189773
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000006.bin,2.602178194,827.904,65.1338,262.341,70.125,0.023125421
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000007.bin,2.65237217,841.857,65.0613,266.895,70.0502,0.023325574
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000008.bin,2.678385126,836.389,65.0896,265.772,70.0685,0.023220237
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000009.bin,2.680904727,829.808,65.1239,266.19,70.0617,0.023057504
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000010.bin,2.72472174,847.571,65.0319,266.454,70.0574,0.023335578
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000011.bin,2.737135823,839.446,65.0737,260.429,70.1567,0.023126902
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000012.bin,2.750177351,833.462,65.1048,258.456,70.1898,0.022946555
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000013.bin,2.744437813,821.722,65.1664,256.477,70.2232,0.022680777
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000014.bin,2.773803745,833.185,65.1062,263.132,70.1119,0.022797998
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000015.bin,2.763310851,824.466,65.1519,259.515,70.172,0.022593493
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000016.bin,2.812981069,830.757,65.1189,263.145,70.1117,0.022609658
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000017.bin,2.901920689,841.355,65.0639,259.185,70.1775,0.022742594
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000018.bin,2.913595255,839.867,65.0715,262.882,70.116,0.022612878
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000019.bin,2.905378778,839.766,65.0721,266.812,70.0516,0.022456505
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000020.bin,2.974260881,832.307,65.1108,263.108,70.1123,0.022236896
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000021.bin,3.049019092,832.948,65.1075,260.988,70.1474,0.022051046
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000022.bin,3.120723555,830.733,65.119,262.551,70.1215,0.021898195
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000023.bin,3.128937855,825.701,65.1454,256.738,70.2187,0.02163956
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000024.bin,3.070624624,832.805,65.1082,256.579,70.2214,0.021798393
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000025.bin,3.068618166,827.249,65.1373,252.559,70.29,0.021704419
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000026.bin,3.102263103,827.355,65.1367,258.167,70.1946,0.021708154
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000027.bin,3.210818869,839.55,65.0732,247.001,70.3866,0.021972887
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000028.bin,3.261520175,829.39,65.126,241.274,70.4885,0.021941349
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000029.bin,3.197773702,838.106,65.0807,241.952,70.4763,0.022305145
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000030.bin,3.192514209,846.226,65.0388,244.445,70.4318,0.022631713
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000031.bin,3.221633108,835.513,65.0941,238.029,70.5473,0.022523602
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000032.bin,3.273272148,828.84,65.1289,238.32,70.542,0.02253631
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000033.bin,3.24880577,847.766,65.0309,245.805,70.4077,0.022897694
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000034.bin,3.27115276,842.486,65.058,250.885,70.3189,0.022863091
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000035.bin,3.256533679,835.338,65.095,247.795,70.3727,0.022647588
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000036.bin,3.268743323,830.115,65.1223,246.398,70.3973,0.022593019
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000037.bin,3.284797067,836.328,65.0899,248.533,70.3598,0.02263856
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000038.bin,3.31733725,843.182,65.0544,249.857,70.3367,0.022786101
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000039.bin,3.372811762,830.732,65.119,246.057,70.4033,0.022508167
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000040.bin,3.402464582,835.829,65.0925,243.214,70.4538,0.022585902
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000041.bin,3.471936156,829.005,65.1281,231.785,70.6628,0.022462879
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000042.bin,3.491004419,837.19,65.0854,230.619,70.6847,0.022587148
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000043.bin,3.488952441,827.687,65.135,221.54,70.8591,0.022547976
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000044.bin,3.591701315,826.904,65.1391,217.942,70.9302,0.02255388
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000045.bin,3.592316672,829.069,65.1277,217.835,70.9324,0.022678389
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000046.bin,3.567653715,825.138,65.1484,213.271,71.0243,0.022708865
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000047.bin,3.655206224,834.462,65.0996,218.166,70.9258,0.022926666
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000048.bin,3.68352456,828.663,65.1299,213.016,71.0295,0.022789179
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000049.bin,3.815596688,830.597,65.1197,206.049,71.1739,0.022863359
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000050.bin,3.979217698,831.846,65.1132,205.006,71.196,0.0228546
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000051.bin,4.00335072,824.3,65.1528,204.065,71.216,0.02260788
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000052.bin,4.01811631,821.06,65.1699,209.776,71.0961,0.02255365
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000053.bin,3.95295504,825.692,65.1455,209.407,71.1037,0.022517409
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000054.bin,3.973113507,826.338,65.1421,217.334,70.9424,0.022333176
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000055.bin,3.927420754,835.865,65.0923,225.585,70.7805,0.022258689
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000056.bin,3.934086936,838.006,65.0812,236.567,70.5741,0.022052763
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000057.bin,4.033162333,836.786,65.0875,248.656,70.3577,0.021718142
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000058.bin,3.967187335,833.05,65.1069,260.381,70.1575,0.021422493
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000059.bin,3.799493101,828.075,65.1329,277.364,69.8831,0.021168122
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000060.bin,3.700998547,840.812,65.0667,296.158,69.5984,0.021179712
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000061.bin,3.474949576,826.933,65.1389,303.527,69.4917,0.020816046
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000062.bin,3.352707755,830.794,65.1187,325.07,69.1939,0.020978614
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000063.bin,3.157280158,839.973,65.071,337.276,69.0338,0.021222235
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000064.bin,3.065070922,837.154,65.0856,341.851,68.9753,0.021248978
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000065.bin,3.081813399,838.594,65.0781,333.421,69.0837,0.021510441
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000066.bin,3.098219575,838.962,65.0762,322.402,69.2297,0.021734626
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000067.bin,3.107004929,842.752,65.0566,322.371,69.2301,0.021945857
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000068.bin,3.059382222,831.47,65.1152,315.761,69.3201,0.021956154
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000069.bin,2.949572354,831.301,65.1161,312.697,69.3624,0.022000461
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000070.bin,2.868126246,830.501,65.1202,304.124,69.4831,0.022017511
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000071.bin,3.008883088,841.48,65.0632,299.519,69.5494,0.022123329
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000072.bin,3.07620542,831.055,65.1173,282.938,69.7967,0.021752909
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000073.bin,3.121021174,833.692,65.1036,283.437,69.7891,0.021599003
