File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer,Enc Time,Dec Time
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000001.bin,4.167936199,133.366,73.0632,40.8531,78.2014,0.009938819,0.727792501,0.181277752
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000002.bin,4.181098515,133.798,73.0491,41.2779,78.1565,0.009943831,0.354099035,0.179652452
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000003.bin,4.188767816,134.632,73.0222,41.3805,78.1457,0.009979303,0.355626106,0.190989256
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000004.bin,4.218461323,134.404,73.0295,41.9079,78.0907,0.009974687,0.343922138,0.179393291
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000005.bin,4.176812609,133.842,73.0477,41.6287,78.1197,0.009935293,0.350802422,0.178804636
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000006.bin,4.223284974,133.76,73.0504,42.289,78.0514,0.00992605,0.348855734,0.180047512
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000007.bin,4.305534726,134.544,73.025,42.5386,78.0258,0.00996261,0.349518776,0.179581165
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000008.bin,4.380295127,133.776,73.0499,42.386,78.0414,0.009918804,0.359335899,0.188090563
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000009.bin,4.40810349,133.924,73.0451,42.6648,78.0129,0.009923221,0.3660779,0.180683613
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000010.bin,4.495537629,133.263,73.0665,42.11,78.0698,0.009881148,0.350106716,0.179553747
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000011.bin,4.578990562,134.038,73.0413,41.6892,78.1134,0.009913065,0.351906061,0.189293623
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000012.bin,4.558679895,134.895,73.0137,41.9066,78.0908,0.00995521,0.353875399,0.179611206
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000013.bin,4.51923354,133.993,73.0428,41.7415,78.108,0.009905107,0.345984221,0.179395437
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000014.bin,4.501822914,133.874,73.0467,41.8755,78.094,0.009890901,0.358475447,0.180603981
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000015.bin,4.560925828,134.279,73.0336,42.1031,78.0705,0.009897868,0.35621953,0.178555965
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000016.bin,4.617599334,134.261,73.0341,42.806,77.9986,0.009903301,0.354826212,0.178684473
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000017.bin,4.692950517,133.544,73.0574,41.6966,78.1126,0.009864168,0.35589242,0.17869091
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000018.bin,4.747450824,133.799,73.0491,42.2948,78.0508,0.009867453,0.365017176,0.181988716
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000019.bin,4.760407496,134.048,73.041,42.5474,78.0249,0.009871073,0.353291512,0.179673433
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000020.bin,4.825964035,133.526,73.058,42.6926,78.0101,0.009822894,0.358178139,0.17978096
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000021.bin,4.969767172,133.117,73.0713,41.9426,78.0871,0.009779135,0.364640951,0.178897142
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000022.bin,5.006557482,133.398,73.0622,41.7139,78.1108,0.009747848,0.364770174,0.178932905
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000023.bin,5.096057841,133.329,73.0644,41.739,78.1082,0.009701659,0.355962515,0.179618359
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000024.bin,5.04630982,134.743,73.0186,42.0008,78.0811,0.009750377,0.36170125,0.178578615
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000025.bin,5.048471804,133.366,73.0632,41.0927,78.176,0.009684776,0.360544443,0.188744307
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000026.bin,5.157945518,133.224,73.0678,41.6001,78.1227,0.009710405,0.363792419,0.17871809
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000027.bin,5.270152273,134.003,73.0425,40.0498,78.2876,0.009791153,0.371857643,0.17881465
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000028.bin,5.280495829,134.848,73.0152,39.0322,78.3994,0.009885868,0.367961407,0.179013968
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000029.bin,5.268736955,134.042,73.0412,38.7661,78.4291,0.009904927,0.373260975,0.183622599
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000030.bin,5.244575627,133.428,73.0612,38.6658,78.4404,0.009904694,0.362719774,0.187389374
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000031.bin,5.366694097,134.043,73.0412,38.587,78.4492,0.009931089,0.365769863,0.179757595
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000032.bin,5.402260099,133.673,73.0532,38.4545,78.4642,0.009916268,0.366194725,0.182370186
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000033.bin,5.399523349,133.733,73.0512,39.0099,78.4019,0.009917821,0.363265038,0.180190325
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000034.bin,5.393017759,134.015,73.0421,39.9334,78.3003,0.009930534,0.36078763,0.180541277
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000035.bin,5.368694726,133.798,73.0491,39.8184,78.3128,0.009910052,0.360749722,0.180442095
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000036.bin,5.462178185,133.339,73.0641,39.9737,78.2959,0.009887942,0.373093843,0.181188107
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000037.bin,5.49823514,133.651,73.0539,39.9329,78.3003,0.009877985,0.368447781,0.188536167
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000038.bin,5.512164927,134.131,73.0384,39.7964,78.3152,0.009896922,0.367446661,0.179357529
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000039.bin,5.607771069,133.591,73.0559,39.7632,78.3188,0.009861029,0.368313551,0.179848194
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000040.bin,5.620336994,133.904,73.0457,39.1003,78.3918,0.009869187,0.369122982,0.178933859
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000041.bin,5.723732814,133.061,73.0731,37.4906,78.5744,0.009838374,0.371000051,0.180388212
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000042.bin,5.736453775,133.224,73.0678,36.6232,78.6761,0.009842298,0.362939596,0.18042922
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000043.bin,5.747272535,133.177,73.0693,35.9112,78.7613,0.009841287,0.36487937,0.187094688
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000044.bin,5.827114282,134.104,73.0392,35.0548,78.8662,0.009902794,0.389269829,0.179872751
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000045.bin,5.883391701,134.355,73.0311,35.3457,78.8303,0.00993371,0.378727674,0.180423975
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000046.bin,5.846640955,133.678,73.053,34.6611,78.9152,0.009921321,0.371068239,0.191226721
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/11/velodyne/000047.bin,5.91435575,133.963,73.0438,34.7557,78.9034,0.009931309,0.371826887,0.181178093
